umur,gender,rata2_tidur_hari,rata2_belajar_hari,rata2_bermain_game_hari,rata2_buka_sosmed_hari,jumlah_kopi_hari,jumlah_matcha_hari,jumlah_ukm,jarak_kampus_km,asal_sekolah,rata2_olahraga_hari,memiliki_laptop,bekerja,ipk,ipk_group
18,female,5.5,7.9,5.0,1.2,2,2,0,9.4,SMA,0.2,1,0,4.0,sangat baik
18,female,4.3,3.4,3.8,1.2,1,2,1,4.5,SMA,1.0,1,0,3.26,baik
18,male,6.3,4.9,1.3,3.3,1,2,2,7.0,SMK,0.7,1,0,3.73,sangat baik
19,male,5.4,3.3,1.5,1.4,0,2,0,17.3,SMK,0.5,1,0,3.5,baik
18,female,6.9,3.1,4.9,1.1,0,1,0,24.8,SMK,0.1,1,1,3.02,baik
19,female,4.5,4.1,2.2,4.0,1,1,2,22.6,SMA,0.1,1,1,2.78,sedang
18,female,4.8,3.9,2.9,2.1,1,0,0,7.2,SMK,0.9,0,0,3.23,baik
18,female,6.4,6.4,1.7,3.7,0,1,1,11.0,SMA,1.2,1,0,3.99,sangat baik
18,male,4.1,4.9,4.2,4.0,0,2,0,19.0,SMK,0.8,1,0,2.9,sedang
18,male,5.4,5.1,2.1,1.2,1,0,0,25.0,SMA,2.0,1,0,4.0,sangat baik
19,female,4.8,4.4,1.8,3.6,1,2,2,17.1,SMA,1.0,1,0,3.17,baik
18,male,5.7,5.8,4.5,2.2,2,2,2,19.1,SMK,1.2,1,0,3.95,sangat baik
19,male,5.7,3.5,3.9,2.6,0,2,1,15.9,SMA,1.7,1,0,3.0,sedang
18,female,5.5,4.3,2.8,3.9,0,1,0,6.0,SMK,1.2,1,0,3.28,baik
20,female,4.4,6.2,1.7,2.0,2,2,2,17.0,SMK,0.3,1,0,3.97,sangat baik
18,female,5.0,4.7,1.1,2.6,0,0,1,22.5,SMA,0.3,1,0,3.49,baik
19,female,4.2,7.4,4.7,1.2,1,0,0,15.3,SMK,2.0,1,1,3.96,sangat baik
19,female,5.9,4.8,2.9,3.2,0,2,2,18.1,SMA,1.8,1,0,3.62,sangat baik
20,female,5.2,3.5,3.9,1.5,2,0,0,6.1,SMK,0.7,1,1,3.1,baik
18,male,6.0,6.9,3.0,1.3,2,1,1,14.4,SMK,1.2,1,0,4.0,sangat baik
19,male,4.7,5.5,2.3,3.8,0,1,0,4.7,SMK,0.5,1,0,3.27,baik
19,female,6.4,3.3,4.4,1.2,2,0,2,22.5,SMK,1.2,1,0,3.52,sangat baik
19,male,6.0,7.6,3.2,2.7,2,0,0,5.5,SMA,0.6,1,0,4.0,sangat baik
18,female,5.6,6.5,4.1,1.3,1,2,2,12.5,SMK,1.1,0,0,3.96,sangat baik
18,female,4.0,3.6,2.9,2.8,2,1,2,23.3,SMK,1.7,1,0,3.21,baik
20,female,6.8,3.9,1.3,3.2,1,0,2,20.1,SMK,0.4,1,0,3.58,sangat baik
19,male,6.7,4.6,3.4,3.0,2,1,2,16.0,SMA,1.1,1,0,3.74,sangat baik
18,female,6.7,4.9,3.2,3.7,2,2,2,11.4,SMK,0.7,1,0,3.73,sangat baik
20,male,6.4,3.8,2.2,1.7,2,0,1,5.9,SMK,1.4,1,0,3.82,sangat baik
19,male,6.5,3.6,4.4,1.4,2,0,0,12.7,SMA,0.8,1,0,3.62,sangat baik
19,male,4.8,4.7,1.7,3.7,1,1,2,12.1,SMA,1.9,1,0,3.61,sangat baik
19,female,4.3,4.3,3.9,2.8,0,0,2,4.7,SMA,1.2,1,0,2.99,sedang
19,female,6.7,3.6,1.9,1.5,1,2,0,9.0,SMK,0.6,1,0,3.82,sangat baik
20,female,4.2,4.7,4.2,1.0,0,2,2,10.9,SMA,1.7,1,0,3.58,sangat baik
20,male,4.1,7.6,2.0,2.7,1,0,0,9.7,SMA,1.2,1,0,4.0,sangat baik
18,female,5.5,7.9,2.8,2.7,1,2,0,5.4,SMK,0.6,1,0,4.0,sangat baik
19,female,4.6,4.0,1.1,2.4,2,1,0,19.6,SMA,0.9,1,0,3.53,sangat baik
19,female,5.5,6.8,1.4,2.0,2,2,2,10.0,SMA,0.5,1,0,4.0,sangat baik
18,male,5.7,4.3,1.8,2.5,1,0,2,14.7,SMK,1.8,1,0,3.79,sangat baik
20,male,4.7,6.6,4.4,3.5,0,1,0,10.8,SMA,0.6,0,0,3.26,baik
18,female,6.6,6.2,3.8,3.7,0,2,1,20.8,SMK,0.7,0,1,3.39,baik
18,female,5.2,5.8,2.7,1.9,1,1,0,21.8,SMK,1.0,1,0,3.9,sangat baik
19,female,6.2,6.5,2.6,1.7,1,2,1,24.6,SMA,1.1,1,0,4.0,sangat baik
20,female,6.5,5.6,4.3,2.5,1,0,0,16.6,SMA,1.7,1,0,3.85,sangat baik
18,male,6.0,3.9,4.7,2.3,1,1,1,2.1,SMA,0.3,1,0,3.26,baik
20,female,4.7,4.9,2.2,2.1,0,2,2,15.6,SMA,1.9,1,1,3.6,sangat baik
19,male,4.1,4.3,3.4,1.2,1,2,0,4.7,SMA,1.2,1,0,3.43,baik
18,male,5.2,6.5,3.4,2.4,2,2,1,20.2,SMK,1.4,1,0,4.0,sangat baik
20,male,6.9,7.0,3.8,2.6,1,2,2,20.4,SMK,1.3,1,1,4.0,sangat baik
18,female,6.7,6.2,3.8,1.2,1,2,1,15.1,SMA,2.0,1,0,4.0,sangat baik
20,male,4.9,7.6,4.9,3.8,1,2,1,2.3,SMK,0.9,1,0,3.65,sangat baik
19,male,5.8,4.2,1.5,1.2,0,2,1,18.4,SMK,0.1,1,0,3.71,sangat baik
19,female,5.6,5.1,4.5,2.3,2,1,1,1.5,SMK,1.7,1,1,3.66,sangat baik
20,male,4.2,3.0,1.2,1.3,1,0,0,14.9,SMK,0.5,1,0,3.36,baik
18,male,4.7,3.6,2.4,1.9,1,1,0,2.0,SMK,0.0,1,0,3.06,baik
18,female,5.2,3.6,4.8,3.4,0,2,1,24.6,SMK,1.8,1,1,2.69,sedang
18,female,5.9,6.0,3.1,1.7,1,0,1,1.9,SMA,1.9,1,1,4.0,sangat baik
19,female,6.9,7.4,4.7,4.0,0,2,1,13.4,SMA,1.0,1,1,3.91,sangat baik
18,female,5.6,6.0,3.3,1.3,0,2,2,4.1,SMK,1.8,1,1,3.95,sangat baik
18,male,5.0,7.7,3.9,1.8,2,1,2,18.4,SMK,1.0,0,0,4.0,sangat baik
18,female,4.2,7.4,3.1,3.7,2,1,2,21.7,SMA,1.5,1,1,3.79,sangat baik
18,male,4.5,3.8,2.3,1.7,0,1,2,17.8,SMA,0.4,1,1,3.2,baik
19,male,4.4,4.7,4.0,1.5,1,1,0,13.2,SMK,0.0,1,0,3.33,baik
18,male,5.7,3.6,2.5,1.0,0,2,1,7.8,SMK,0.0,1,1,3.27,baik
18,male,4.3,7.7,3.8,1.2,2,0,1,18.0,SMA,0.9,0,0,4.0,sangat baik
19,female,6.6,7.9,4.9,3.2,2,0,2,2.6,SMA,1.6,1,1,4.0,sangat baik
18,female,4.3,7.3,3.1,3.5,0,1,2,17.3,SMK,1.3,1,1,3.68,sangat baik
18,male,6.8,5.1,3.6,2.2,0,0,2,8.5,SMA,0.6,1,0,3.72,sangat baik
19,male,6.6,5.4,4.9,1.6,0,0,0,4.7,SMK,0.9,1,0,3.69,sangat baik
18,male,4.4,3.2,4.7,2.8,1,2,0,1.0,SMK,1.2,1,0,2.63,sedang
20,female,6.0,4.6,3.4,2.3,0,0,0,2.7,SMK,0.8,1,0,3.48,baik
20,female,6.1,7.3,4.1,1.1,1,2,0,6.8,SMK,2.0,1,0,4.0,sangat baik
19,female,6.3,7.7,1.3,2.6,0,0,1,1.8,SMK,0.2,1,0,4.0,sangat baik
20,female,4.6,6.5,4.3,1.1,0,2,0,18.0,SMK,0.1,1,0,3.94,sangat baik
19,male,5.9,6.9,3.4,2.5,2,1,1,19.8,SMA,1.0,0,0,4.0,sangat baik
19,female,4.2,3.3,2.0,1.5,0,2,1,8.9,SMK,0.9,1,1,3.1,baik
19,male,4.1,6.3,2.3,2.6,2,2,1,10.7,SMK,0.4,1,0,3.82,sangat baik
20,female,5.4,7.3,3.9,3.2,0,1,1,21.8,SMK,1.2,1,0,3.94,sangat baik
19,female,6.4,6.3,5.0,1.9,0,2,0,12.2,SMA,1.7,1,0,3.98,sangat baik
19,female,4.5,4.2,4.9,1.5,0,1,0,11.5,SMA,0.2,1,0,3.18,baik
20,female,4.5,5.0,4.9,1.8,0,0,2,15.1,SMK,1.2,1,0,3.34,baik
20,female,4.7,3.4,1.7,2.6,1,1,0,11.3,SMA,0.5,1,0,3.16,baik
18,male,5.8,4.8,3.1,3.3,2,2,1,5.9,SMK,0.2,1,0,3.43,baik
20,female,4.7,3.3,3.6,1.7,0,0,2,8.6,SMK,1.0,0,0,2.95,sedang
20,male,4.8,5.6,2.4,2.6,2,1,0,4.4,SMK,1.9,1,0,3.94,sangat baik
18,female,4.3,6.4,2.8,3.6,1,2,1,16.9,SMK,2.0,1,0,3.77,sangat baik
20,female,5.7,3.2,4.7,3.1,0,0,2,23.6,SMA,1.7,1,0,2.77,sedang
19,female,6.0,8.0,1.2,3.9,0,0,0,19.8,SMK,1.1,1,1,4.0,sangat baik
19,male,5.3,7.5,4.5,2.0,0,2,0,3.9,SMK,1.1,0,0,3.85,sangat baik
19,male,5.2,6.5,2.6,2.3,0,0,2,6.5,SMA,0.1,1,0,3.76,sangat baik
20,male,5.6,7.8,4.4,3.7,0,1,0,10.1,SMA,0.8,1,0,3.96,sangat baik
20,female,5.2,5.7,4.0,3.1,2,0,0,5.7,SMK,0.0,1,1,3.32,baik
20,female,4.6,5.4,1.8,1.5,0,1,2,23.3,SMK,1.1,1,0,3.86,sangat baik
19,female,6.1,4.4,2.7,1.4,2,2,2,21.6,SMK,1.6,1,0,4.0,sangat baik
19,female,6.4,5.8,1.2,2.9,2,0,2,16.3,SMK,1.0,1,0,4.0,sangat baik
20,male,5.8,5.1,4.4,3.7,0,1,2,19.7,SMK,0.5,1,0,3.07,baik
19,female,5.4,5.9,1.7,3.2,1,0,2,13.8,SMA,0.4,1,0,3.77,sangat baik
20,female,5.6,4.2,2.6,2.8,1,0,1,7.6,SMA,1.2,1,0,3.56,sangat baik
20,female,7.0,3.6,1.4,3.2,1,2,0,2.9,SMA,0.2,1,0,3.48,baik
18,female,4.7,4.8,1.3,2.6,1,0,2,16.4,SMK,0.5,1,0,3.54,sangat baik
19,female,6.0,8.0,3.6,2.7,1,2,1,9.0,SMK,1.2,0,1,3.95,sangat baik
18,male,6.1,4.0,3.1,1.3,0,2,0,8.2,SMK,2.0,1,0,3.7,sangat baik
19,male,5.6,6.1,1.4,3.3,0,0,1,4.8,SMA,0.1,1,0,3.81,sangat baik
18,female,5.1,3.4,4.7,2.7,2,2,1,11.7,SMA,1.2,1,1,2.94,sedang
18,male,5.2,5.5,2.6,2.6,0,2,1,22.1,SMA,1.7,1,0,3.76,sangat baik
19,male,4.2,5.0,1.7,3.1,1,1,1,16.4,SMK,1.6,1,1,3.42,baik
19,male,6.7,7.1,2.3,3.9,1,0,0,9.8,SMK,0.1,0,0,3.92,sangat baik
18,male,5.6,7.8,2.7,1.9,1,1,0,3.5,SMA,1.3,1,0,4.0,sangat baik
20,female,5.7,4.0,1.8,2.5,1,0,2,17.7,SMA,2.0,1,0,3.67,sangat baik
18,female,6.3,4.3,1.7,3.1,0,2,0,6.6,SMA,0.4,1,0,3.55,sangat baik
18,female,6.7,5.2,1.8,2.1,1,1,2,18.6,SMK,1.5,0,0,4.0,sangat baik
20,female,5.3,7.0,3.3,3.0,0,0,0,8.8,SMA,1.7,1,0,3.95,sangat baik
20,male,5.5,7.2,1.4,2.5,1,1,2,10.0,SMK,0.8,1,0,4.0,sangat baik
18,male,4.4,3.5,3.6,3.8,1,0,0,21.2,SMA,0.1,1,0,2.69,sedang
20,male,5.4,4.1,4.6,2.4,0,2,0,18.7,SMA,1.0,1,0,3.25,baik
18,female,6.2,6.3,4.2,1.3,0,0,0,10.3,SMA,0.9,1,1,3.81,sangat baik
18,male,6.0,6.8,2.1,1.1,0,2,0,24.4,SMK,1.3,0,0,4.0,sangat baik
19,female,4.2,7.8,2.9,3.7,1,0,2,24.5,SMA,1.2,1,0,3.92,sangat baik
20,female,5.5,3.6,3.4,1.3,0,1,1,15.7,SMA,1.9,1,0,3.53,sangat baik
20,female,6.7,6.2,2.1,3.4,2,2,0,7.2,SMK,1.1,1,0,4.0,sangat baik
20,female,5.0,6.8,2.1,2.6,0,1,1,4.2,SMA,1.5,1,0,4.0,sangat baik
20,female,4.5,4.7,2.7,3.3,0,2,2,3.5,SMA,0.3,0,0,2.94,sedang
19,male,5.7,7.1,4.0,3.6,2,1,1,5.9,SMA,1.1,1,0,3.99,sangat baik
20,female,6.1,4.9,3.2,2.6,1,1,1,1.8,SMA,1.5,1,1,3.46,baik
20,male,6.5,5.4,3.0,1.4,2,0,1,22.3,SMK,1.2,1,0,4.0,sangat baik
20,male,4.0,6.1,2.4,3.4,0,2,2,12.5,SMA,1.3,0,0,3.5,baik
19,female,5.5,6.0,3.4,1.1,2,0,2,2.8,SMA,0.1,1,0,4.0,sangat baik
19,male,4.6,7.1,3.1,2.1,1,2,0,11.4,SMK,0.2,1,0,4.0,sangat baik
18,male,5.9,5.5,1.7,3.1,2,1,2,18.8,SMA,1.9,1,0,4.0,sangat baik
19,female,5.0,3.1,1.1,3.5,0,1,0,23.3,SMK,1.6,0,1,2.75,sedang
18,male,5.4,5.2,4.7,3.1,1,1,2,22.7,SMA,1.8,1,0,3.3,baik
18,male,4.5,6.1,1.5,3.3,0,0,1,7.8,SMA,0.1,0,0,3.43,baik
19,female,4.8,6.8,2.8,3.3,0,0,2,2.5,SMA,1.8,1,0,3.74,sangat baik
18,female,6.3,3.4,1.9,3.2,2,2,2,10.4,SMA,1.7,1,0,3.59,sangat baik
18,female,6.0,4.0,3.3,2.4,0,0,0,5.4,SMA,0.0,1,0,3.2,baik
18,male,6.6,5.8,3.1,1.3,1,1,2,2.6,SMA,1.4,1,0,4.0,sangat baik
18,female,4.4,6.3,1.9,1.3,2,0,2,14.1,SMK,0.1,1,1,3.78,sangat baik
19,male,6.9,7.0,3.0,2.0,0,1,2,19.2,SMA,1.5,0,0,4.0,sangat baik
20,female,5.5,6.3,4.3,2.1,2,0,2,5.7,SMA,0.4,0,0,3.41,baik
20,female,5.9,4.0,4.6,2.6,1,1,2,15.7,SMA,0.7,1,0,3.26,baik
19,male,4.4,4.0,1.7,3.7,2,0,1,15.8,SMK,0.2,1,1,2.99,sedang
20,male,5.5,3.6,3.9,2.0,1,1,2,16.7,SMA,0.3,1,0,3.18,baik
18,male,6.5,4.0,2.5,3.9,0,0,1,14.0,SMK,1.4,1,0,3.22,baik
18,male,4.8,7.1,4.5,2.6,0,1,1,18.3,SMA,0.8,1,0,3.81,sangat baik
19,male,6.2,6.3,3.5,2.1,0,2,1,24.5,SMA,1.3,1,0,4.0,sangat baik
20,female,4.5,7.3,1.9,3.5,2,2,2,17.7,SMA,1.0,1,0,4.0,sangat baik
20,female,6.3,5.0,4.0,3.7,0,2,0,19.9,SMK,1.3,1,1,3.28,baik
20,male,5.2,4.9,1.9,2.1,1,2,2,24.4,SMK,0.2,1,0,3.85,sangat baik
19,male,6.8,4.4,4.4,1.9,2,2,1,17.8,SMA,1.7,1,0,3.99,sangat baik
18,male,4.8,7.4,1.5,3.1,0,0,1,2.1,SMA,1.1,1,1,4.0,sangat baik
18,female,4.9,4.5,4.0,1.1,1,0,0,15.2,SMK,1.8,1,0,3.68,sangat baik
19,male,5.3,4.3,4.2,2.7,0,0,0,15.4,SMA,0.2,0,1,2.66,sedang
20,male,6.5,7.4,3.3,2.6,2,1,1,19.6,SMK,1.2,1,0,4.0,sangat baik
18,female,6.1,4.2,3.0,1.3,1,0,2,16.7,SMK,1.9,1,0,3.95,sangat baik
18,male,4.8,5.0,4.6,1.0,0,1,1,22.8,SMA,0.5,1,0,3.66,sangat baik
19,male,5.8,4.4,1.8,2.5,1,0,1,2.2,SMA,1.7,1,0,3.68,sangat baik
20,male,6.4,5.9,3.1,1.9,1,0,0,20.6,SMK,0.6,1,0,4.0,sangat baik
20,female,5.5,6.5,5.0,1.4,1,0,0,10.4,SMK,1.5,1,0,4.0,sangat baik
18,female,5.8,4.5,4.3,3.9,1,0,0,16.3,SMA,0.1,1,0,3.1,baik
19,male,6.0,7.0,3.7,1.3,2,0,0,10.7,SMK,0.6,1,0,4.0,sangat baik
18,male,6.0,4.8,3.4,1.0,0,2,1,3.8,SMK,0.3,1,0,3.89,sangat baik
20,female,5.6,3.7,1.0,2.3,2,2,0,3.0,SMK,0.8,1,1,3.72,sangat baik
20,female,5.0,6.6,3.6,3.5,1,2,1,10.7,SMK,0.2,1,1,3.35,baik
20,male,5.4,5.9,4.0,1.3,2,1,2,15.4,SMK,1.4,1,0,4.0,sangat baik
18,female,5.9,3.2,4.0,3.8,2,0,1,16.5,SMA,1.3,1,0,2.79,sedang
19,female,6.5,5.7,4.4,2.7,1,0,2,17.5,SMK,0.3,1,0,3.55,sangat baik
20,male,5.6,3.7,1.4,1.6,2,2,1,10.5,SMK,0.6,1,0,3.78,sangat baik
18,female,6.9,4.6,4.6,2.8,0,0,0,7.9,SMA,1.9,1,0,3.46,baik
19,female,5.6,3.8,3.2,2.6,1,0,2,21.1,SMA,0.7,1,0,3.22,baik
20,female,4.8,7.8,3.2,2.0,2,0,2,4.6,SMK,1.6,1,0,4.0,sangat baik
20,female,6.6,6.1,3.3,2.9,0,2,0,4.6,SMK,1.7,1,1,3.89,sangat baik
19,male,6.2,5.7,4.5,1.4,2,2,0,20.1,SMA,0.6,1,1,3.79,sangat baik
18,female,6.8,5.6,1.4,3.3,1,2,2,10.0,SMK,0.6,1,0,4.0,sangat baik
18,female,5.1,6.6,4.6,2.4,2,2,2,15.2,SMK,1.6,1,1,3.66,sangat baik
18,female,5.3,7.2,4.6,1.2,1,2,2,1.7,SMA,1.9,1,0,4.0,sangat baik
18,male,5.1,7.0,2.1,1.6,0,1,2,24.8,SMA,0.4,1,0,4.0,sangat baik
19,male,5.5,6.7,4.3,3.2,0,0,0,20.7,SMA,1.6,1,0,3.43,baik
19,female,4.2,5.0,2.6,1.2,2,2,1,20.4,SMK,1.9,0,1,3.61,sangat baik
20,female,6.6,6.4,1.5,3.5,1,1,1,18.0,SMA,1.3,1,1,3.92,sangat baik
19,male,4.8,3.1,3.3,3.5,0,0,1,24.5,SMA,1.2,1,0,2.63,sedang
19,female,4.6,6.6,4.5,2.4,1,1,1,12.1,SMK,0.5,1,0,3.57,sangat baik
20,male,6.3,4.4,3.0,1.9,1,1,2,2.3,SMA,1.5,1,0,3.81,sangat baik
19,male,6.3,6.6,3.4,3.7,1,0,1,6.9,SMA,1.5,1,0,3.78,sangat baik
20,male,6.6,5.9,4.6,3.8,2,0,1,10.1,SMK,1.9,0,0,3.46,baik
19,male,5.7,7.7,4.4,3.0,2,2,0,18.1,SMA,1.3,1,0,4.0,sangat baik
19,female,4.8,5.4,3.5,4.0,0,0,1,24.0,SMA,1.0,1,0,3.12,baik
19,female,5.9,6.9,1.0,3.6,0,1,0,20.7,SMK,1.7,1,0,4.0,sangat baik
18,male,6.4,6.8,1.1,2.2,2,1,2,8.6,SMA,1.3,1,0,4.0,sangat baik
19,female,5.7,3.4,1.2,3.0,0,1,1,13.4,SMK,0.5,1,0,3.13,baik
19,male,6.1,7.7,1.1,3.2,1,0,1,7.4,SMK,1.4,1,0,4.0,sangat baik
19,male,6.0,4.6,4.1,3.3,1,2,1,1.4,SMK,1.5,1,0,3.46,baik
19,male,4.7,6.2,3.3,2.7,0,0,2,22.1,SMA,1.4,1,1,3.45,baik
20,male,5.5,5.3,2.6,1.9,2,0,0,23.5,SMA,1.2,1,0,4.0,sangat baik
18,female,4.7,5.7,3.6,2.9,1,0,0,6.4,SMA,0.4,1,0,3.53,sangat baik
19,female,4.9,4.4,4.9,2.6,2,2,2,7.2,SMA,0.7,1,0,3.28,baik
18,male,6.1,6.5,4.7,2.5,0,2,1,11.0,SMA,0.6,1,0,3.74,sangat baik
19,female,6.0,3.4,2.1,3.4,1,1,1,5.3,SMK,0.9,1,1,3.17,baik
18,male,4.4,8.0,3.1,2.2,1,0,2,13.0,SMK,0.8,1,0,4.0,sangat baik
20,female,5.4,7.6,1.7,1.6,1,1,1,5.6,SMA,1.6,1,1,4.0,sangat baik
19,female,6.9,5.0,4.4,3.3,2,1,0,12.0,SMK,1.6,1,0,3.69,sangat baik
18,female,5.5,3.1,1.0,2.1,0,2,2,2.1,SMK,1.6,1,0,3.54,sangat baik
20,female,4.1,5.4,3.6,1.4,0,1,2,23.1,SMK,2.0,0,0,3.58,sangat baik
18,female,5.9,3.5,1.1,1.2,2,2,1,9.6,SMK,1.6,1,0,4.0,sangat baik
19,male,6.7,7.4,4.9,1.1,2,2,0,1.9,SMA,0.1,1,1,4.0,sangat baik
18,female,4.7,5.2,3.9,2.7,0,2,1,21.2,SMA,0.3,1,1,3.08,baik
19,male,6.3,5.4,3.0,1.6,0,0,2,15.3,SMA,0.1,1,0,3.9,sangat baik
19,female,6.8,5.5,2.6,3.4,2,0,1,19.6,SMK,0.7,1,0,3.8,sangat baik
20,female,6.8,5.0,3.2,2.6,0,0,1,9.7,SMA,1.4,1,0,3.71,sangat baik
18,female,4.9,4.2,1.0,3.2,1,2,2,16.4,SMK,0.8,1,0,3.38,baik
18,female,5.1,7.5,4.2,4.0,1,0,1,15.2,SMK,1.3,0,0,3.49,baik
19,male,4.1,4.3,3.1,1.8,0,1,0,9.7,SMK,1.9,1,0,3.59,sangat baik
20,female,5.5,4.8,4.7,3.5,2,2,2,20.3,SMK,0.2,1,1,3.08,baik
18,female,4.8,7.0,1.8,2.0,0,0,2,3.9,SMA,1.5,1,0,4.0,sangat baik
19,male,4.5,6.9,3.9,2.2,2,2,2,1.3,SMA,1.4,1,0,4.0,sangat baik
20,male,5.5,6.5,3.1,2.6,0,0,0,18.2,SMK,1.7,1,1,3.63,sangat baik
20,female,6.6,7.0,3.7,2.9,1,1,2,13.0,SMA,0.1,1,1,4.0,sangat baik
19,female,6.5,7.5,1.0,3.0,0,0,1,10.4,SMK,0.4,1,1,4.0,sangat baik
18,female,4.2,6.9,2.1,2.3,2,1,0,2.7,SMA,0.4,1,1,3.93,sangat baik
19,male,6.2,3.6,4.1,3.4,0,0,1,23.6,SMK,1.8,0,0,2.9,sedang
18,female,6.2,6.5,2.7,2.0,2,2,2,5.9,SMA,1.0,1,0,4.0,sangat baik
19,female,6.1,3.7,3.4,1.5,2,1,2,11.3,SMK,1.4,1,0,3.85,sangat baik
19,female,5.5,4.3,3.7,3.1,1,0,2,7.5,SMK,1.2,1,1,3.37,baik
19,female,5.3,6.1,1.9,3.8,0,2,1,16.0,SMK,0.7,0,0,3.53,sangat baik
18,female,5.4,7.8,2.6,3.5,1,1,1,3.4,SMK,0.0,1,0,4.0,sangat baik
20,female,4.3,7.0,4.4,3.5,2,0,2,1.2,SMK,1.2,1,0,3.69,sangat baik
20,female,4.6,7.4,4.0,1.0,2,0,0,1.4,SMA,0.2,1,0,4.0,sangat baik
19,male,6.2,6.0,3.7,1.2,2,1,1,20.3,SMK,1.6,1,0,4.0,sangat baik
18,female,4.8,7.9,2.2,3.3,0,0,0,15.0,SMK,1.1,1,0,3.97,sangat baik
19,female,6.6,3.2,4.1,2.2,1,2,2,17.9,SMK,0.9,1,0,3.22,baik
20,male,5.8,4.0,3.4,2.2,2,1,2,7.7,SMK,1.4,0,0,3.47,baik
19,male,4.5,3.8,1.3,1.6,0,1,2,18.3,SMK,1.7,1,1,3.59,sangat baik
18,female,5.5,4.8,4.3,3.4,2,1,2,23.9,SMK,0.7,1,0,3.04,baik
20,female,4.7,4.6,4.6,1.2,0,2,2,5.7,SMA,1.7,1,1,3.38,baik
